id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	Epithelial|Epithelial	Myofibroblast_Mesothelium|Myofibroblast_Mesothelium	Myofibroblast_Mesothelium|Fibroblasts	Myofibroblast_Mesothelium|Pericytes	Myofibroblast_Mesothelium|Endothelial	Myofibroblast_Mesothelium|Immune	Fibroblasts|Myofibroblast_Mesothelium	Fibroblasts|Fibroblasts	Fibroblasts|Pericytes	Fibroblasts|Endothelial	Fibroblasts|Immune	Pericytes|Myofibroblast_Mesothelium	Pericytes|Fibroblasts	Pericytes|Pericytes	Pericytes|Endothelial	Pericytes|Immune	Endothelial|Myofibroblast_Mesothelium	Endothelial|Fibroblasts	Endothelial|Pericytes	Endothelial|Endothelial	Endothelial|Immune	Immune|Myofibroblast_Mesothelium	Immune|Fibroblasts	Immune|Pericytes	Immune|Endothelial	Immune|Immune	Muscle|Muscle	Muscle|Neural	Muscle|Fibroblasts	Muscle|Pericytes	Muscle|Endothelial	Muscle|Immune	Neural|Muscle	Neural|Neural	Neural|Fibroblasts	Neural|Pericytes	Neural|Endothelial	Neural|Immune	Fibroblasts|Muscle	Fibroblasts|Neural	Pericytes|Muscle	Pericytes|Neural	Endothelial|Muscle	Endothelial|Neural	Immune|Muscle	Immune|Neural
CPI-SS0569F0E0D	CXCL3_ACKR1	simple:P19876	simple:Q16570	CXCL3	ACKR1	False	False	False	user_curated	False	0.305	0.1	0.104	0.1	0.21	0.0	0.084	0.088	0.085	0.195	0.0	0.111	0.115	0.111	0.221	0.0	0.152	0.156	0.152	0.262	0.0	0.293	0.297	0.293	0.403	0.0	0.065	0.064	0.067	0.064	0.174	0.0	0.054	0.052	0.055	0.052	0.162	0.0	0.086	0.084	0.113	0.111	0.154	0.152	0.295	0.293
CPI-SS0ABF41CAA	CXCL5_ACKR1	simple:P42830	simple:Q16570	CXCL5	ACKR1	False	False	False	user_curated	False	0.01	0.006	0.009	0.006	0.116	0.0	0.005	0.009	0.006	0.116	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.011	0.008	0.118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.006	0.0	0.0	0.009	0.008	0.0	0.0
CPI-SS02A339E2D	CXCL6_ACKR1	simple:P80162	simple:Q16570	CXCL6	ACKR1	False	False	False	user_curated	False	0.01	0.017	0.021	0.018	0.128	0.0	0.015	0.019	0.015	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.016	0.012	0.122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.015	0.0	0.0	0.0	0.0	0.014	0.012
CPI-SS04C8F4B87	CCL8_ACKR4	simple:P80075	simple:Q9NPB9	CCL8	ACKR4	False	False	False	user_curated	False	0.002	0.0	0.0	0.0	0.0	0.0	0.003	0.013	0.0	0.009	0.0	0.021	0.031	0.0	0.027	0.0	0.047	0.057	0.0	0.053	0.0	0.013	0.023	0.0	0.019	0.0	0.0	0.006	0.015	0.0	0.011	0.0	0.0	0.005	0.013	0.0	0.009	0.0	0.0	0.005	0.0	0.022	0.0	0.048	0.0	0.014
CPI-SS0ECD9BB5E	CCL21_ACKR4	simple:O00585	simple:Q9NPB9	CCL21	ACKR4	False	False	False	user_curated	False	0.022	0.028	0.038	0.0	0.034	0.0	0.045	0.055	0.0	0.051	0.0	0.031	0.041	0.0	0.037	0.0	0.101	0.111	0.0	0.107	0.0	0.028	0.037	0.0	0.033	0.0	0.0	0.054	0.062	0.0	0.058	0.0	0.0	0.01	0.019	0.0	0.015	0.0	0.0	0.046	0.0	0.033	0.0	0.103	0.0	0.029
CPI-SS00AEC3818	CCL19_ACKR4	simple:Q99731	simple:Q9NPB9	CCL19	ACKR4	False	False	False	user_curated	False	0.003	0.012	0.021	0.0	0.018	0.0	0.008	0.018	0.0	0.014	0.0	0.011	0.021	0.0	0.017	0.0	0.002	0.012	0.0	0.008	0.0	0.008	0.018	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.017	0.0	0.013	0.0	0.0	0.01	0.0	0.012	0.0	0.004	0.0	0.01
CPI-SS0CCD89E02	CCL25_ACKR4	simple:O15444	simple:Q9NPB9	CCL25	ACKR4	False	False	False	user_curated	False	0.169	0.03	0.04	0.0	0.036	0.0	0.046	0.055	0.0	0.051	0.0	0.037	0.047	0.0	0.043	0.0	0.041	0.051	0.0	0.047	0.0	0.046	0.056	0.0	0.052	0.0	0.0	0.051	0.059	0.0	0.055	0.0	0.0	0.029	0.037	0.0	0.034	0.0	0.0	0.047	0.0	0.039	0.0	0.042	0.0	0.048
CPI-SS0976BA7F0	CXCL12_ACKR3	simple:P48061	simple:P25106	CXCL12	ACKR3	False	False	False	user_curated	False	0.226	0.88	0.469	0.677	0.511	0.433	1.08	0.668	0.877	0.71	0.633	0.804	0.392	0.6	0.434	0.356	0.764	0.353	0.561	0.395	0.317	0.59	0.179	0.387	0.221	0.143	0.369	0.378	0.396	0.605	0.438	0.361	0.169	0.178	0.196	0.405	0.238	0.16	0.641	0.65	0.365	0.374	0.326	0.335	0.152	0.16
CPI-SS080683E15	CXCL10_CXCR3	simple:P02778	simple:P49682	CXCL10	CXCR3	False	False	False	user_curated	False	0.002	0.0	0.019	0.0	0.0	0.064	0.0	0.004	0.0	0.0	0.05	0.0	0.005	0.0	0.0	0.051	0.0	0.012	0.0	0.0	0.057	0.0	0.007	0.0	0.0	0.052	0.0	0.0	0.004	0.0	0.0	0.049	0.0	0.0	0.004	0.0	0.0	0.049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS01A6823FA	PF4_CXCR3	simple:P02776	simple:P49682	PF4	CXCR3	False	False	False	user_curated	False	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.049	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0BCCA6596	CCL28_CCR10	simple:Q9NRJ3	simple:P46092	CCL28	CCR10	False	False	False	user_curated	False	0.005	0.0	0.0	0.0	0.0	0.0	0.008	0.007	0.056	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.007	0.056	0.005	0.0	0.014	0.013	0.061	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.013	0.0	0.0	0.01	0.013	0.016	0.019
CPI-SS06C0074BD	CCL21_CCR7	simple:O00585	simple:P32248	CCL21	CCR7	False	False	False	user_curated	False	0.024	0.0	0.029	0.0	0.0	0.205	0.0	0.046	0.0	0.0	0.222	0.0	0.032	0.0	0.0	0.208	0.0	0.102	0.0	0.0	0.278	0.0	0.028	0.0	0.0	0.204	0.0	0.058	0.053	0.0	0.0	0.229	0.0	0.015	0.01	0.0	0.0	0.186	0.0	0.051	0.0	0.037	0.0	0.107	0.0	0.033
CPI-SS09239FB26	CCL19_CCR7	simple:Q99731	simple:P32248	CCL19	CCR7	False	False	False	user_curated	False	0.004	0.0	0.013	0.0	0.0	0.189	0.0	0.009	0.0	0.0	0.185	0.0	0.012	0.0	0.0	0.188	0.0	0.003	0.0	0.0	0.179	0.0	0.009	0.0	0.0	0.185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.008	0.0	0.0	0.184	0.0	0.014	0.0	0.017	0.0	0.008	0.0	0.014
CPI-SS0A28DCA72	CXCL12_CXCR4	simple:P48061	simple:P61073	CXCL12	CXCR4	False	False	False	user_curated	False	0.073	0.424	0.399	0.415	0.462	0.754	0.623	0.599	0.615	0.662	0.953	0.347	0.323	0.338	0.385	0.677	0.308	0.284	0.299	0.346	0.638	0.134	0.109	0.125	0.172	0.464	0.324	0.332	0.327	0.343	0.39	0.681	0.124	0.132	0.127	0.143	0.189	0.481	0.596	0.604	0.319	0.328	0.28	0.289	0.106	0.115
CPI-SC0AC52AFEF	TGFB3_P36896_P37173	simple:P10600	complex:P36896_P37173	TGFB3		False	False	False	user_curated	False	0.068	0.061	0.068	0.081	0.078	0.026	0.081	0.088	0.102	0.098	0.047	0.099	0.106	0.12	0.117	0.065	0.082	0.089	0.103	0.099	0.048	0.0	0.0	0.0	0.0	0.0	0.028	0.051	0.06	0.073	0.07	0.018	0.018	0.042	0.051	0.064	0.061	0.009	0.056	0.079	0.074	0.097	0.057	0.08	0.0	0.0
CPI-SC02CDF4AC3	TGFB2_P36896_P37173	simple:P61812	complex:P36896_P37173	TGFB2		False	False	False	user_curated	False	0.063	0.042	0.048	0.062	0.059	0.007	0.045	0.052	0.066	0.063	0.011	0.065	0.072	0.086	0.082	0.031	0.059	0.066	0.08	0.077	0.025	0.0	0.0	0.0	0.0	0.0	0.021	0.044	0.053	0.067	0.064	0.012	0.097	0.12	0.129	0.143	0.14	0.088	0.02	0.043	0.04	0.063	0.034	0.057	0.0	0.0
CPI-SC0D5D236A9	TGFB3_P36897_P37173	simple:P10600	complex:P36897_P37173	TGFB3		False	False	False	user_curated	False	0.02	0.076	0.063	0.059	0.087	0.076	0.097	0.083	0.079	0.107	0.097	0.115	0.102	0.097	0.126	0.115	0.098	0.084	0.08	0.108	0.098	0.0	0.0	0.0	0.0	0.0	0.077	0.067	0.055	0.051	0.079	0.068	0.068	0.058	0.046	0.041	0.07	0.059	0.106	0.095	0.124	0.114	0.107	0.096	0.0	0.0
CPI-SC0361D9D79	TGFB2_P36897_P37173	simple:P61812	complex:P36897_P37173	TGFB2		False	False	False	user_curated	False	0.015	0.057	0.044	0.039	0.068	0.057	0.061	0.048	0.043	0.072	0.061	0.081	0.067	0.063	0.092	0.081	0.075	0.062	0.057	0.086	0.075	0.0	0.0	0.0	0.0	0.0	0.071	0.061	0.049	0.044	0.073	0.062	0.147	0.137	0.124	0.12	0.149	0.138	0.07	0.06	0.09	0.079	0.084	0.074	0.0	0.0
CPI-SC0CF266D30	TGFB3_Q8NER5_P37173	simple:P10600	complex:Q8NER5_P37173	TGFB3		False	False	False	user_curated	False	0.04	0.025	0.024	0.027	0.023	0.027	0.046	0.044	0.048	0.044	0.048	0.064	0.062	0.066	0.062	0.066	0.047	0.045	0.049	0.045	0.049	0.0	0.0	0.0	0.0	0.0	0.017	0.014	0.016	0.019	0.016	0.019	0.008	0.005	0.007	0.01	0.006	0.01	0.046	0.042	0.064	0.061	0.047	0.043	0.0	0.0
CPI-SC04B098E02	TGFB2_Q8NER5_P37173	simple:P61812	complex:Q8NER5_P37173	TGFB2		False	False	False	user_curated	False	0.036	0.006	0.004	0.008	0.004	0.008	0.01	0.008	0.012	0.008	0.012	0.03	0.028	0.032	0.028	0.032	0.024	0.022	0.026	0.022	0.026	0.0	0.0	0.0	0.0	0.0	0.011	0.008	0.009	0.013	0.009	0.013	0.087	0.084	0.085	0.089	0.085	0.089	0.01	0.007	0.03	0.027	0.024	0.021	0.0	0.0
CPI-SS026335F55	THRB_F2RL2	simple:P00734	simple:O00254	THRB	F2RL2	False	False	False	user_curated	False	0.066	0.034	0.026	0.0	0.022	0.0	0.027	0.019	0.0	0.015	0.0	0.02	0.012	0.0	0.008	0.0	0.026	0.018	0.0	0.015	0.0	0.023	0.015	0.0	0.012	0.0	0.0	0.079	0.06	0.0	0.057	0.0	0.0	0.031	0.012	0.0	0.009	0.0	0.0	0.038	0.0	0.031	0.0	0.037	0.0	0.034
CPI-SS026335F55	F2_F2RL2	simple:P00734	simple:O00254	F2	F2RL2	False	False	False	user_curated	False	0.066	0.034	0.026	0.0	0.022	0.0	0.027	0.019	0.0	0.015	0.0	0.02	0.012	0.0	0.008	0.0	0.026	0.018	0.0	0.015	0.0	0.023	0.015	0.0	0.012	0.0	0.0	0.079	0.06	0.0	0.057	0.0	0.0	0.031	0.012	0.0	0.009	0.0	0.0	0.038	0.0	0.031	0.0	0.037	0.0	0.034
CPI-SS09404C94F	PLG_F2RL2	simple:P00747	simple:O00254	PLG	F2RL2	False	False	False	user_curated	False	0.012	0.0	0.0	0.0	0.0	0.0	0.017	0.009	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS017DDA046	GZMA_F2RL2	simple:P12544	simple:O00254	GZMA	F2RL2	False	False	False	user_curated	False	0.0	0.017	0.009	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.012	0.0	0.008	0.0	0.066	0.058	0.0	0.054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031	0.0	0.076
CPI-SS09367CF8E	PRSS3_F2RL2	simple:P35030	simple:O00254	PRSS3	F2RL2	False	False	False	user_curated	False	0.234	0.064	0.056	0.0	0.052	0.0	0.071	0.063	0.0	0.059	0.0	0.048	0.04	0.0	0.036	0.0	0.063	0.055	0.0	0.051	0.0	0.066	0.058	0.0	0.054	0.0	0.0	0.057	0.039	0.0	0.035	0.0	0.0	0.078	0.059	0.0	0.056	0.0	0.0	0.082	0.0	0.058	0.0	0.074	0.0	0.077
CPI-SS058209EC7	THRB_F2R	simple:P00734	simple:P25116	THRB	F2R	False	False	False	user_curated	False	0.1	0.431	0.133	0.16	0.206	0.054	0.424	0.126	0.153	0.199	0.047	0.417	0.119	0.147	0.192	0.04	0.423	0.126	0.153	0.198	0.046	0.42	0.123	0.15	0.195	0.043	0.093	0.111	0.168	0.195	0.24	0.088	0.045	0.063	0.12	0.147	0.192	0.04	0.052	0.07	0.045	0.063	0.051	0.069	0.048	0.066
CPI-SS058209EC7	F2_F2R	simple:P00734	simple:P25116	F2	F2R	False	False	False	user_curated	False	0.1	0.431	0.133	0.16	0.206	0.054	0.424	0.126	0.153	0.199	0.047	0.417	0.119	0.147	0.192	0.04	0.423	0.126	0.153	0.198	0.046	0.42	0.123	0.15	0.195	0.043	0.093	0.111	0.168	0.195	0.24	0.088	0.045	0.063	0.12	0.147	0.192	0.04	0.052	0.07	0.045	0.063	0.051	0.069	0.048	0.066
CPI-SS07EA09568	GZMA_F2R	simple:P12544	simple:P25116	GZMA	F2R	False	False	False	user_curated	False	0.0	0.414	0.116	0.144	0.189	0.037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.417	0.119	0.146	0.192	0.04	0.462	0.165	0.192	0.237	0.085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045	0.063	0.09	0.108
CPI-SS0391314C7	PRSS3_F2R	simple:P35030	simple:P25116	PRSS3	F2R	False	False	False	user_curated	False	0.268	0.461	0.163	0.19	0.236	0.084	0.468	0.17	0.197	0.243	0.091	0.445	0.147	0.174	0.219	0.068	0.46	0.162	0.189	0.235	0.083	0.463	0.165	0.192	0.238	0.086	0.072	0.09	0.146	0.173	0.218	0.067	0.092	0.11	0.166	0.194	0.239	0.087	0.096	0.114	0.073	0.091	0.088	0.106	0.091	0.109
CPI-SS041A22E65	THRB_F2RL1	simple:P00734	simple:P55085	THRB	F2RL1	False	False	False	user_curated	False	0.458	0.067	0.062	0.055	0.059	0.08	0.06	0.055	0.048	0.052	0.073	0.053	0.048	0.041	0.045	0.066	0.059	0.054	0.047	0.052	0.073	0.056	0.051	0.044	0.049	0.069	0.08	0.085	0.096	0.089	0.094	0.115	0.033	0.037	0.049	0.041	0.046	0.067	0.039	0.043	0.032	0.036	0.039	0.043	0.035	0.04
CPI-SS041A22E65	F2_F2RL1	simple:P00734	simple:P55085	F2	F2RL1	False	False	False	user_curated	False	0.458	0.067	0.062	0.055	0.059	0.08	0.06	0.055	0.048	0.052	0.073	0.053	0.048	0.041	0.045	0.066	0.059	0.054	0.047	0.052	0.073	0.056	0.051	0.044	0.049	0.069	0.08	0.085	0.096	0.089	0.094	0.115	0.033	0.037	0.049	0.041	0.046	0.067	0.039	0.043	0.032	0.036	0.039	0.043	0.035	0.04
CPI-SS01FD0889C	PLG_F2RL1	simple:P00747	simple:P55085	PLG	F2RL1	False	False	False	user_curated	False	0.403	0.0	0.0	0.0	0.0	0.0	0.05	0.045	0.038	0.043	0.063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029	0.034	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0024CA9FD	GZMA_F2RL1	simple:P12544	simple:P55085	GZMA	F2RL1	False	False	False	user_curated	False	0.0	0.05	0.045	0.038	0.042	0.063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.053	0.048	0.041	0.045	0.066	0.098	0.094	0.086	0.091	0.112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.032	0.036	0.078	0.082
CPI-SS0A6674B21	PRSS3_F2RL1	simple:P35030	simple:P55085	PRSS3	F2RL1	False	False	False	user_curated	False	0.626	0.097	0.092	0.085	0.089	0.11	0.104	0.099	0.092	0.096	0.117	0.081	0.076	0.069	0.073	0.094	0.096	0.091	0.084	0.088	0.109	0.099	0.094	0.087	0.091	0.112	0.059	0.063	0.075	0.068	0.072	0.093	0.079	0.083	0.095	0.088	0.093	0.113	0.083	0.087	0.06	0.064	0.075	0.079	0.078	0.082
CPI-SS0CBFF3136	THRB_PARD3	simple:P00734	simple:Q8TEW0	THRB	PARD3	False	False	False	user_curated	False	0.102	0.098	0.083	0.121	0.051	0.045	0.091	0.076	0.114	0.044	0.038	0.084	0.069	0.107	0.037	0.031	0.09	0.076	0.113	0.044	0.037	0.087	0.073	0.11	0.041	0.034	0.118	0.108	0.118	0.155	0.086	0.079	0.07	0.06	0.07	0.107	0.038	0.031	0.076	0.066	0.069	0.059	0.076	0.066	0.073	0.063
CPI-SS0CBFF3136	F2_PARD3	simple:P00734	simple:Q8TEW0	F2	PARD3	False	False	False	user_curated	False	0.102	0.098	0.083	0.121	0.051	0.045	0.091	0.076	0.114	0.044	0.038	0.084	0.069	0.107	0.037	0.031	0.09	0.076	0.113	0.044	0.037	0.087	0.073	0.11	0.041	0.034	0.118	0.108	0.118	0.155	0.086	0.079	0.07	0.06	0.07	0.107	0.038	0.031	0.076	0.066	0.069	0.059	0.076	0.066	0.073	0.063
CPI-SS0E6CA0B42	PLG_PARD3	simple:P00747	simple:Q8TEW0	PLG	PARD3	False	False	False	user_curated	False	0.047	0.0	0.0	0.0	0.0	0.0	0.081	0.067	0.104	0.035	0.028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.067	0.057	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS018FFAD1E	GZMA_PARD3	simple:P12544	simple:Q8TEW0	GZMA	PARD3	False	False	False	user_curated	False	0.0	0.081	0.066	0.104	0.034	0.028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.084	0.069	0.107	0.037	0.031	0.129	0.115	0.153	0.083	0.076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.069	0.059	0.115	0.105
CPI-SS0086084D6	PRSS3_PARD3	simple:P35030	simple:Q8TEW0	PRSS3	PARD3	False	False	False	user_curated	False	0.27	0.128	0.113	0.151	0.081	0.075	0.135	0.12	0.158	0.088	0.082	0.112	0.097	0.135	0.065	0.059	0.127	0.112	0.15	0.08	0.074	0.13	0.115	0.153	0.083	0.077	0.096	0.086	0.096	0.134	0.064	0.058	0.116	0.107	0.117	0.154	0.084	0.078	0.12	0.11	0.097	0.087	0.112	0.102	0.115	0.105
CPI-SS0BDC2B411	THRB_F2RL3	simple:P00734	simple:Q96RI0	THRB	F2RL3	False	False	False	user_curated	False	0.066	0.022	0.02	0.02	0.055	0.025	0.015	0.013	0.013	0.048	0.018	0.008	0.007	0.006	0.041	0.011	0.014	0.013	0.012	0.048	0.017	0.011	0.01	0.009	0.044	0.014	0.0	0.054	0.055	0.054	0.09	0.059	0.0	0.006	0.007	0.006	0.042	0.011	0.0	0.012	0.0	0.006	0.0	0.012	0.0	0.009
CPI-SS0BDC2B411	F2_F2RL3	simple:P00734	simple:Q96RI0	F2	F2RL3	False	False	False	user_curated	False	0.066	0.022	0.02	0.02	0.055	0.025	0.015	0.013	0.013	0.048	0.018	0.008	0.007	0.006	0.041	0.011	0.014	0.013	0.012	0.048	0.017	0.011	0.01	0.009	0.044	0.014	0.0	0.054	0.055	0.054	0.09	0.059	0.0	0.006	0.007	0.006	0.042	0.011	0.0	0.012	0.0	0.006	0.0	0.012	0.0	0.009
